金融單位代號,金融單位名稱,存簿轉帳代繳,信用卡代繳
0040037,臺灣銀行,有,無
0050418,土地銀行,有,無
0060567,合作金庫商業銀行,有,有
0070937,第一銀行,有,有
0081005,華南銀行,有,無
0095185,彰化銀行,有,有
0100081,華僑銀行,有,無
0110026,上海商業銀行,有,無
0122009,台北富邦銀行,有,有
0130017,國泰世華銀行,有,無
0162380,高雄銀行,有,無
0172015,兆豐國際商業銀行,有,無
0180012,全國農業金庫,有,無
0200017,日商瑞穗實業,有,無
0210018,美商花旗銀行,有,無
0220019,美國銀行,有,無
0250012,菲律賓首都銀行,有,無
0390019,台灣澳盛商業銀行,有,無
0500108,台灣中小企業銀行,有,無
0520672,渣打商銀,有,無
0530020,台中商銀,有,無
0540537,京城商業銀行,有,無
0720014,德商德意志銀行,有,無
0750006,香港商東亞銀行,有,無
0790011,比利時商富通銀行,有,無
0810016,香港匯豐銀行,有,無
0820017,法商巴黎銀行,有,無
0860011,法商東方匯理,有,無
0900018,加拿大商豐業銀行,有,無
0920010,瑞商瑞士銀行,有,無
0960014,澳洲紐西蘭,有,無
0990017,比利時商聯合,有,無
1010011,稻江商銀,有,無
1020010,華泰銀行,有,有
1030019,台灣新光銀行,有,無
1060016,台北九信,有,無
1080014,陽信銀行,有,無
1140015,基隆一信,有,無
1150014,基隆二信,有,無
1180020,板信商業銀行,有,無
1190010,淡水一信,有,無
1270019,桃園信合社,有,無
1300013,新竹一信,有,無
1320039,新竹三信,有,無
1390014,竹南信合社,有,無
1460014,台中二信,有,無
1470022,三信商銀,有,無
1620021,彰化六信,有,無
1630011,彰化十信,有,無
1650019,鹿港信用合作社,有,無
2030012,高雄二信,有,無
2040011,高雄三信,有,無
2150044,花蓮一信,有,無
2160016,花蓮二信,有,無
6040017,台南市農會,有,無
6050018,高雄市農會,有,無
6060075,新莊市農會,有,無
6060086,汐止市農會,有,無
6250014,台中市農會,有,無
8030021,聯邦銀行,有,無
8040011,香港匯豐銀行,有,無
8050012,遠東銀行,有,無
8060150,元大銀行,有,無
8070014,永豐銀行,有,無
8080015,玉山銀行,有,無
8090197,萬泰銀行,有,無
8100021,星展銀行(寶華銀行),有,無
8120012,台新銀行,有,有
8140025,大眾銀行,有,無
8150015,日盛商銀,有,無
8160038,安泰銀行,有,無
8220901,中國信託,有,無
8250133,慶豐銀行,有,無
9100010,桃農中心,有,無
9280000,板農中心,有,無
9510010,北農中心,有,無
9520011,南農中心,有,無
9540010,中農中心,有,無
9970018,南資中心,有,無
