站代號,站名,營業時間,縣市,地址,電話,甲漁,乙漁,高柴,經度,緯度
D2030,和平島漁船站,09:00-17:00,基隆市,中正區和一路41巷9號,02-24622340,1,1,0,121.7674247,25.1540939
D2032,八斗子漁船站,08:30-16:30,基隆市,中正區漁港二街403號,02-24691600,1,0,1,121.7946441,25.14463581
D4130,梧棲漁船站,08:00-17:00,台中市,清水區北堤路19號,04-26561901,1,0,1,120.5319592,24.26073406
D4330,三條崙漁船站,08:00-16:00,雲林縣,四湖鄉崙北村海青路196號(營業時間：週一&三&五),05-7721002,1,0,0,120.151551,23.657226
D4331,馬公漁船站,08:00-16:00,澎湖縣,馬公市海安街16號(備註：週六歇業),069-272585,1,0,1,119.568446,23.565285
D4332,箔子寮漁船站,08:00-16:00,雲林縣,口湖鄉下崙村漁港路368號(營業時間：週二&四),05-7722621,1,0,0,120.14194,23.619013
D4333,東石漁船站,10:00-17:00,嘉義縣,東石鄉東石村觀海一路160號,05-3730273,1,0,0,120.1574151,23.46251073
D4334,鎖港漁船站,08:00-16:00,澎湖縣,馬公市鎖港里293號,06-9951005,1,0,0,119.6053822,23.53306356
D4335,赤崁漁船站,08:00-16:00,澎湖縣,白沙鄉赤崁村37號,06-9931078,1,0,1,119.6027769,23.66995719
D4336,七美漁船站,08:00-16:00,澎湖縣,七美鄉南滬村1-2號,06-9971255,1,0,0,119.422076,23.194553
D4337,望安漁船站,08:00-16:00,澎湖縣,望安鄉東安村2-14號(週六歇業),06-9991176,1,0,1,119.507193,23.362916
D4338,外垵漁船站,08:00-16:00,澎湖縣,西嶼鄉外垵村89-2號(週六12:00後及週日不營業),06-9983371,1,0,0,119.483179,23.564191
D4339,龍門漁船站,08:00-16:00,澎湖縣,湖西鄉龍門村119-63號,06-9921412,1,0,0,119.674881,23.560245
D503R,青山漁船站,08:00-17:00,台南市,將軍區鯤鯓里55-1號,06-7920511,1,0,0,120.086099,23.18955547
D503T,將軍漁船站,08:00-17:00,台南市,將軍區長沙里126-6號,06-7930010,1,0,0,120.1592278,23.20454297
D503U,興達漁船站,08:00-17:00,高雄市,茄萣區崎漏里民權路1號(週六歇業),07-6989703,1,0,1,120.1985541,22.86543159
D503V,安平漁船站,08:00-17:00,台南市,安平區運河路154號,06-2225782,1,0,0,120.1556974,22.99624135
D5131,東港漁船站,08:00-17:00,屏東縣,東港鎮新生一路60號,088-322270,1,0,0,120.4551575,22.47171692
D5132,旗后漁船站,08:00-17:00,高雄市,旗津區大關路30巷1號,07-5712067,1,0,1,120.270322,22.613617
D5133,前鎮漁船站,07:00-21:00,高雄市,前鎮區興漁二路1號,07-8214840,1,1,0,120.315121,22.566253
D5134,後壁湖漁船站,08:00-17:00,屏東縣,恆春鎮大光路79-39號,08-8866056,1,0,1,120.7448094,21.94397543
D5135,中洲漁船站,08:00-17:00,高雄市,旗津區中洲巷75號,07-5711935,1,0,1,120.30003,22.575378
D5136,中芸漁船站,07:30-16:00,高雄市,林園區北汕里中正路58號,07-6426649,1,0,0,120.3999749,22.48226201
D5137,蚵仔寮漁船站,09:00-18:00,高雄市,梓官區信蚵里通港路通港巷1號,07-6103984,1,0,0,120.2536846,22.72425067
D5138,小琉球漁船站,08:00-17:30,屏東縣,琉球鄉大福村和平路3巷33-7號,08-8613054,1,0,0,120.3706928,22.33706338
D5139,南寮漁船站,09:00-18:00,高雄市,彌陀區南寮里漁港路73號,07-6109661,1,0,0,120.9279086,24.8456594
D6130,花蓮漁船站,08:00-17:00,花蓮縣,花蓮市港濱路39號,038-228297,1,0,1,121.6383141,23.99578774
D6131,蘇澳漁船站,08:00-17:00,宜蘭縣,蘇澳鎮海邊路38-2號,03-9966871,1,0,1,121.8684883,24.58399274
D6132,內埤漁船站,08:00-17:00,宜蘭縣,蘇澳鎮內埤路7號,03-9962643,1,0,0,121.8712062,24.57906068
D6133,北關漁船站,08:00-17:00,宜蘭縣,頭城鎮濱海路三段326號,03-9776128,1,0,0,121.8705716,24.90570489
D6134,新港漁船站,08:00-17:00,台東縣,成功鎮港邊路2號(備註：12:00-13:30歇業),089-851057,1,0,1,121.379497,23.099351
D6135,綠島漁船站,08:00-17:00,台東縣,綠島鄉南寮村漁港路7號,089-672313,1,0,0,121.4748099,22.66069353
D6136,富岡漁船站,10:00-17:00,台東縣,台東市富岡街316號(註：週日及單週六不營業，雙週六營業至13:30),089-281165,1,0,1,121.191621,22.791847
D6137,大溪漁船站,09:00-17:00,宜蘭縣,頭城鎮濱海路五段488號,03-9780838,1,0,0,121.9011036,24.94107641
D6138,台東流動漁船站,     -     ,台東縣,台東市富岡街316號,089-281165,1,0,0,121.0930993,24.93373661
